順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
1,宮﨑　敏郎,DeNA,0.326,124,461,408,47,133,27,0,20,220,71,1,0,0,4,41,6,8,43,14,0.395,0.539
2,西川　龍馬,広島,0.305,109,443,416,48,127,20,1,9,176,56,7,6,1,4,21,4,1,52,10,0.337,0.423
3,サンタナ,ヤクルト,0.3,136,516,467,52,140,32,0,18,226,66,2,0,0,3,44,1,2,114,17,0.36,0.484
4,牧　秀悟,DeNA,0.293,143,605,559,78,164,39,3,29,296,103,2,2,0,6,33,3,7,85,17,0.337,0.53
5,大島　洋平,中日,0.289,130,494,470,34,136,17,2,0,157,23,6,1,1,3,15,1,5,43,7,0.316,0.334
6,大山　悠輔,阪神,0.288,143,625,513,80,148,29,0,19,234,78,3,3,0,8,99,5,5,120,13,0.403,0.456
6,坂本　勇人,巨人,0.288,116,455,403,46,116,29,0,22,211,60,2,0,3,2,45,3,2,84,5,0.361,0.524
8,野間　峻祥,広島,0.286,108,418,371,37,106,11,1,0,119,26,5,6,8,1,33,0,5,51,10,0.351,0.321
8,小園　海斗,広島,0.286,80,306,290,25,83,11,7,6,126,31,8,4,4,0,10,1,2,38,7,0.315,0.434
10,中野　拓夢,阪神,0.285,143,660,575,80,164,17,5,2,197,40,20,12,21,5,57,2,2,107,5,0.349,0.343
10,近本　光司,阪神,0.285,129,585,501,83,143,24,12,8,215,54,28,3,0,5,67,2,12,71,6,0.379,0.429
12,宇佐見　真吾,中日,0.282,69,226,206,12,58,6,0,3,73,14,0,0,2,0,17,1,1,47,4,0.339,0.354
13,大城　卓三,巨人,0.281,134,490,424,50,119,20,1,16,189,55,0,0,21,4,36,3,5,109,12,0.341,0.446
