日付,先発投手,先発捕手,投手責任,QS,HQS,投球回,失点,自責点,投球数,被安打,与四死球,奪三振,対戦相手,試合結果
3月31日(金),石田 健大,戸柱 恭孝,●,×,×,4.0,4,3,89,5,2,3,阪神,● 3-6
4月1日(土),ガゼルマン,伊藤 光,-,×,×,3.0,4,4,60,6,2,1,阪神,● 5-6
4月2日(日),笠原 祥太郎,山本 祐大,●,×,×,3.0,3,3,78,6,3,4,阪神,● 2-6
4月4日(火),濵口 遥大,戸柱 恭孝,●,×,×,5.0,4,4,93,7,2,4,巨人,● 0-9
4月5日(水),平良 拳太郎,伊藤 光,○,◎,×,6.0,0,0,85,4,1,7,巨人,○ 2-0
4月6日(木),東 克樹,山本 祐大,○,◎,◎,7.0,0,0,89,4,0,8,巨人,○ 4-0
4月8日(土),ガゼルマン,伊藤 光,○,◎,×,6.1,1,1,92,5,3,3,中日,○ 3-1
4月9日(日),石田 健大,戸柱 恭孝,○,◎,×,6.0,0,0,105,3,1,4,中日,○ 8-0
4月11日(火),濵口 遥大,戸柱 恭孝,●,×,×,4.0,6,6,82,7,4,3,ヤクルト,● 3-6
4月12日(水),東 克樹,山本 祐大,○,◎,×,6.0,1,1,96,5,0,3,ヤクルト,○ 6-1
4月14日(金),ガゼルマン,伊藤 光,○,×,×,5.0,2,2,98,6,2,5,阪神,○ 8-3
4月16日(日),平良 拳太郎,伊藤 光,○,◎,×,6.0,1,1,85,2,0,10,阪神,○ 2-1
4月18日(火),石田 健大,戸柱 恭孝,○,◎,◎,8.0,0,0,102,4,0,8,巨人,○ 2-0
4月19日(水),濵口 遥大,山本 祐大,●,×,×,7.0,4,4,96,8,1,6,巨人,● 1-5
4月21日(金),今永 昇太,戸柱 恭孝,○,◎,◎,8.0,0,0,101,5,0,6,広島,○ 1-0
4月22日(土),大貫 晋一,山本 祐大,●,×,×,5.0,3,2,72,4,0,5,広島,● 0-3
4月23日(日),東 克樹,山本 祐大,-,◎,×,6.0,1,1,79,3,0,2,広島,○ 4-3
4月25日(火),ガゼルマン,伊藤 光,○,◎,×,6.0,0,0,107,3,2,5,ヤクルト,○ 5-3
4月26日(水),石田 健大,戸柱 恭孝,-,◎,×,6.0,1,0,101,5,2,6,ヤクルト,○ 5-2
4月27日(木),平良 拳太郎,伊藤 光,-,×,×,5.0,4,4,105,4,3,5,ヤクルト,○ 7-6
4月28日(金),今永 昇太,戸柱 恭孝,○,◎,◎,7.0,0,0,115,4,1,12,中日,○ 1-0
4月29日(土),大貫 晋一,山本 祐大,-,×,×,4.1,4,3,62,6,1,3,中日,○ 7-4
4月30日(日),東 克樹,山本 祐大,○,◎,◎,9.0,0,0,97,4,0,6,中日,○ 2-0
5月2日(火),ガゼルマン,伊藤 光,-,◎,×,6.0,1,1,84,2,2,2,広島,● 1-6
5月3日(水),バウアー,伊藤 光,○,◎,◎,7.0,1,1,98,7,1,9,広島,○ 4-1
5月4日(木),石田 健大,戸柱 恭孝,-,×,×,5.0,2,2,80,6,1,3,広島,○ 3-2
5月5日(金),今永 昇太,戸柱 恭孝,-,×,×,5.0,4,4,103,8,0,5,ヤクルト,● 9-10
5月6日(土),濵口 遥大,戸柱 恭孝,-,×,×,2.2,4,4,73,5,3,4,ヤクルト,○ 17-7
5月9日(火),バウアー,伊藤 光,●,×,×,6.0,7,6,103,11,0,8,巨人,● 2-9
5月11日(木),東 克樹,山本 祐大,●,×,×,5.0,4,4,82,10,1,3,巨人,● 1-4
5月12日(金),今永 昇太,戸柱 恭孝,●,×,×,4.0,5,5,89,7,1,7,阪神,● 3-6
5月13日(土),ガゼルマン,伊藤 光,●,×,×,3.2,5,4,83,2,6,2,阪神,● 2-7
5月14日(日),平良 拳太郎,伊藤 光,●,×,×,3.1,6,6,78,8,1,2,阪神,● 7-15
5月16日(火),バウアー,山本 祐大,●,×,×,2.0,7,7,69,8,1,1,広島,● 5-7
5月17日(水),石田 健大,戸柱 恭孝,-,×,×,5.0,4,4,90,7,1,5,広島,○ 7-4
5月18日(木),東 克樹,山本 祐大,○,◎,×,8.0,3,3,121,9,2,10,広島,○ 13-3
5月20日(土),ガゼルマン,伊藤 光,-,×,×,5.0,2,2,107,4,4,7,ヤクルト,○ 5-3
5月21日(日),今永 昇太,戸柱 恭孝,-,◎,×,7.0,3,3,103,6,0,5,ヤクルト,△ 3-3
5月23日(火),平良 拳太郎,伊藤 光,○,◎,◎,7.0,0,0,108,4,1,4,巨人,○ 6-3
5月24日(水),石田 健大,戸柱 恭孝,●,◎,◎,7.0,1,1,100,6,1,7,巨人,● 0-1
5月25日(木),東 克樹,山本 祐大,●,×,×,5.2,5,5,76,11,0,5,巨人,● 4-5
5月26日(金),ガゼルマン,伊藤 光,●,◎,◎,7.0,1,1,107,4,2,5,中日,● 0-1
