背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
7,佐野　恵太,.264,141,613,560,148,13,65,0,46,4,77,0,9,.323,.388,.711,4.43,4.38
2,牧　秀悟,.293,143,605,559,164,29,103,2,33,7,85,0,17,.337,.530,.867,6.03,5.93
63,関根　大気,.261,140,532,482,126,4,31,11,29,4,53,16,5,.308,.334,.642,3.69,3.61
1,桑原　将志,.252,132,479,429,108,7,35,3,23,10,54,11,11,.301,.373,.674,3.42,3.50
51,宮﨑　敏郎,.326,124,461,408,133,20,71,1,41,8,43,0,14,.395,.539,.934,7.54,7.26
99,ソト,.234,109,399,354,83,14,50,0,39,4,99,0,11,.316,.415,.731,4.19,4.23
98,京田　陽太,.227,93,287,251,57,1,9,3,25,2,33,9,6,.302,.255,.557,2.48,2.52
9,大和,.235,88,230,213,50,0,18,1,14,0,23,3,7,.282,.254,.535,2.09,2.09
50,山本　祐大,.277,71,200,173,48,3,16,0,18,1,26,7,3,.347,.382,.729,4.73,4.64
0,大田　泰示,.217,75,186,175,38,4,15,0,9,2,49,0,2,.263,.354,.618,3.06,3.05
10,戸柱　恭孝,.242,70,181,165,40,5,19,0,13,0,30,2,6,.296,.394,.690,3.62,3.64
37,楠本　泰史,.191,94,176,157,30,2,21,0,11,3,35,2,2,.253,.287,.539,2.24,2.49
29,伊藤　光,.225,61,176,160,36,1,8,0,9,2,41,4,2,.273,.294,.567,2.58,2.61
0,林　琢真,.206,65,154,141,29,0,11,7,6,0,29,5,2,.235,.241,.476,1.52,1.70
31,柴田　竜拓,.143,86,66,49,7,0,2,0,9,2,9,6,0,.300,.204,.504,2.05,2.24
3,オースティン,.277,22,54,47,13,0,6,0,6,0,13,0,0,.352,.404,.756,5.60,5.45
58,梶原　昂希,.226,21,54,53,12,0,2,1,1,0,18,0,1,.241,.302,.543,1.88,1.87
8,神里　和毅,.163,64,53,49,8,0,3,0,3,1,16,0,0,.226,.224,.451,1.10,1.27
61,蝦名　達夫,.140,42,51,43,6,0,0,1,1,4,12,3,0,.229,.163,.392,1.03,1.21
60,知野　直人,.167,39,39,30,5,2,5,2,7,1,9,1,0,.342,.400,.742,4.80,4.99
23,藤田　一也,.286,23,24,21,6,0,0,0,2,0,5,1,0,.348,.333,.681,4.50,4.30
6,森　敬斗,.167,9,14,12,2,0,1,1,1,0,1,1,0,.231,.167,.397,1.44,1.60
39,西浦　直亨,.111,13,9,9,1,0,1,0,0,0,4,0,0,.111,.111,.222,-1.08,-0.84
42,アンバギー,.125,4,8,8,1,0,0,0,0,0,3,0,0,.125,.125,.250,-0.82,-0.58
67,西巻　賢二,.000,7,4,3,0,0,0,0,0,0,2,1,0,.000,.000,.000,-1.85,-1.69
32,益子　京右,.000,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
5,松尾　汐恩,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,粟飯原　龍之介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,田中　俊太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,小深田　大地,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,東妻　純平,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,上甲　凌大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
