背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
11,東　克樹,1.98,24,16,3,0,0,.842,665,172.1,149,14,15,1,133,40,38,0.95,2.88
21,今永　昇太,2.80,22,7,4,0,0,.636,596,148.0,132,17,24,4,174,46,46,1.05,2.75
96,バウアー,2.76,19,10,4,0,0,.714,534,130.2,119,14,31,4,130,44,40,1.15,3.28
14,石田　健大,3.97,23,4,9,0,0,.308,500,118.0,127,12,30,5,99,56,52,1.33,3.63
16,大貫　晋一,2.95,13,5,4,0,0,.556,304,76.1,57,6,18,4,55,27,25,0.98,3.49
26,濵口　遥大,4.50,14,3,7,0,0,.300,304,68.0,71,6,35,0,56,42,34,1.56,4.12
45,ガゼルマン,4.45,13,3,5,0,0,.375,292,64.2,72,6,33,4,43,35,32,1.62,4.71
27,上茶谷　大河,2.11,46,5,3,0,4,.625,270,64.0,53,3,26,4,54,21,15,1.23,3.26
49,ウェンデルケン,1.66,61,2,2,3,33,.500,243,59.2,40,1,22,3,53,12,11,1.04,2.62
59,平良　拳太郎,3.49,11,4,4,0,0,.500,246,59.1,58,5,13,0,61,23,23,1.20,2.72
13,伊勢　大夢,3.22,58,4,6,2,33,.400,212,50.1,54,6,16,0,43,21,18,1.39,3.80
19,山﨑　康晃,4.37,49,3,7,20,8,.300,189,45.1,48,7,8,1,54,22,22,1.24,3.34
68,森原　康平,2.32,46,2,1,17,10,.667,171,42.2,34,2,11,2,34,12,11,1.05,3.05
95,石川　達也,1.97,28,0,0,0,3,.000,124,32.0,19,2,10,2,34,9,7,0.91,2.84
62,エスコバー,4.55,40,2,1,0,11,.667,138,31.2,28,6,16,2,30,18,16,1.39,5.30
22,入江　大生,2.70,32,1,1,0,7,.500,136,30.0,29,0,16,2,32,11,9,1.50,2.79
20,坂本　裕哉,5.76,13,0,1,0,0,.000,111,25.0,27,2,12,2,13,16,16,1.56,4.80
17,三嶋　一輝,4.84,27,3,1,0,6,.750,108,22.1,33,3,7,2,17,12,12,1.79,4.42
92,宮城　滝太,3.86,11,0,0,0,3,.000,66,16.1,14,2,2,1,16,7,7,0.98,3.30
46,田中　健二朗,4.09,11,0,0,0,1,.000,46,11.0,12,1,2,0,9,5,5,1.27,3.21
64,中川　虎大,2.53,9,0,1,0,0,.000,41,10.2,9,2,3,0,10,3,3,1.13,4.53
47,笠原　祥太郎,4.50,2,0,2,0,0,.000,36,6.0,10,0,7,0,5,6,3,2.83,4.95
65,宮國　椋丞,6.75,2,0,0,0,0,.000,21,4.0,7,1,1,0,3,4,3,2.00,5.62
30,三浦　銀二,36.00,1,0,0,0,0,.000,8,1.0,4,0,1,0,0,4,4,5.00,3.12
12,阪口　皓亮,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,徳山　壮磨,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,小園　健太,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,吉野　光樹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,平田　真吾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,橋本　達弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,森下　瑠大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,松本　隆之介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,櫻井　周斗,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,深沢　鳳介,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,京山　将弥,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,池谷　蒼大,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,髙田　琢登,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
